"","longname","name","link","s2_formula","s2_formula_mathml"
"1","Aerosol free vegetation index 1600","AFRI1600","http://www.indexdatabase.de/db/i-single.php?id=393","(band_8-0.66*(band_11)/(band_8+0.66*band_11))","<math xmlns=""http://www.w3.org/1998/Math/MathML"">
 <mrow>
  <mrow>
   <mo>(</mo>
   <mrow>
    <mrow>
     <mi mathcolor=""#443399"">NIR</mi>
     <mo>-</mo>
     <mrow>
      <mn>0.66</mn>
      <mo>&amp;InvisibleTimes;</mo>
      <mfrac>
       <mrow>
        <mi mathcolor=""#443399"">1600nm</mi>
       </mrow>
       <mrow>
        <mrow>
         <mrow>
          <mi mathcolor=""#443399"">NIR</mi>
          <mo>+</mo>
          <mrow>
           <mn>0.66</mn>
           <mo>&amp;InvisibleTimes;</mo>
           <mi mathcolor=""#443399"">1600nm</mi>
          </mrow>
         </mrow>
        </mrow>
       </mrow>
      </mfrac>
     </mrow>
    </mrow>
   </mrow>
   <mo>)</mo>
  </mrow>
 </mrow>
</math>"
"2","Aerosol free vegetation index 2100","AFRI2100","http://www.indexdatabase.de/db/i-single.php?id=395","(band_8-0.5*(band_12)/(band_8+0.56*band_12))","<math xmlns=""http://www.w3.org/1998/Math/MathML"">
 <mrow>
  <mrow>
   <mo>(</mo>
   <mrow>
    <mrow>
     <mi mathcolor=""#443399"">NIR</mi>
     <mo>-</mo>
     <mrow>
      <mn>0.5</mn>
      <mo>&amp;InvisibleTimes;</mo>
      <mfrac>
       <mrow>
        <mi mathcolor=""#443399"">2100nm</mi>
       </mrow>
       <mrow>
        <mrow>
         <mrow>
          <mi mathcolor=""#443399"">NIR</mi>
          <mo>+</mo>
          <mrow>
           <mn>0.56</mn>
           <mo>&amp;InvisibleTimes;</mo>
           <mi mathcolor=""#443399"">2100nm</mi>
          </mrow>
         </mrow>
        </mrow>
       </mrow>
      </mfrac>
     </mrow>
    </mrow>
   </mrow>
   <mo>)</mo>
  </mrow>
 </mrow>
</math>"
"3","Anthocyanin reflectance index","ARI","http://www.indexdatabase.de/db/i-single.php?id=214","(1)/(band_3)-(1)/(band_5)","<math xmlns=""http://www.w3.org/1998/Math/MathML"">
 <mrow>
  <mrow>
   <mfrac>
    <mrow>
     <mn>1</mn>
    </mrow>
    <mrow>
     <mi mathcolor=""#443399"">550nm</mi>
    </mrow>
   </mfrac>
   <mo>-</mo>
   <mfrac>
    <mrow>
     <mn>1</mn>
    </mrow>
    <mrow>
     <mi mathcolor=""#443399"">700nm</mi>
    </mrow>
   </mfrac>
  </mrow>
 </mrow>
</math>"
"4","Ashburn Vegetation Index","AVI","http://www.indexdatabase.de/db/i-single.php?id=574","2.0*band_9-band_4","<math xmlns=""http://www.w3.org/1998/Math/MathML"">
 <mrow>
  <mrow>
   <mrow>
    <mn>2.0</mn>
    <mo>&amp;InvisibleTimes;</mo>
    <mi mathcolor=""#443399"">[800:1100]</mi>
   </mrow>
   <mo>-</mo>
   <mi mathcolor=""#443399"">[600:700]</mi>
  </mrow>
 </mrow>
</math>"
"5","Atmospherically Resistant Vegetation Index 2","ARVI2","http://www.indexdatabase.de/db/i-single.php?id=396","-0.18+1.17*((band_8-band_4)/(band_8+band_4))","<math xmlns=""http://www.w3.org/1998/Math/MathML"">
 <mrow>
  <mrow>
   <mn>-0.18</mn>
   <mo>+</mo>
   <mrow>
    <mn>1.17</mn>
    <mo>&amp;InvisibleTimes;</mo>
    <mrow>
     <mo>(</mo>
     <mrow>
      <mfrac>
       <mrow>
        <mrow>
         <mrow>
          <mi mathcolor=""#443399"">NIR</mi>
          <mo>-</mo>
          <mi mathcolor=""#443399"">RED</mi>
         </mrow>
        </mrow>
       </mrow>
       <mrow>
        <mrow>
         <mrow>
          <mi mathcolor=""#443399"">NIR</mi>
          <mo>+</mo>
          <mi mathcolor=""#443399"">RED</mi>
         </mrow>
        </mrow>
       </mrow>
      </mfrac>
     </mrow>
     <mo>)</mo>
    </mrow>
   </mrow>
  </mrow>
 </mrow>
</math>"
"6","Blue-wide dynamic range vegetation index","BWDRVI","http://www.indexdatabase.de/db/i-single.php?id=136","(0.1*band_8-band_2)/(0.1*band_8+band_2)","<math xmlns=""http://www.w3.org/1998/Math/MathML"">
 <mrow>
  <mfrac>
   <mrow>
    <mrow>
     <mrow>
      <mrow>
       <mn>0.1</mn>
       <mo>&amp;InvisibleTimes;</mo>
       <mi mathcolor=""#443399"">NIR</mi>
      </mrow>
      <mo>-</mo>
      <mi mathcolor=""#443399"">BLUE</mi>
     </mrow>
    </mrow>
   </mrow>
   <mrow>
    <mrow>
     <mrow>
      <mrow>
       <mn>0.1</mn>
       <mo>&amp;InvisibleTimes;</mo>
       <mi mathcolor=""#443399"">NIR</mi>
      </mrow>
      <mo>+</mo>
      <mi mathcolor=""#443399"">BLUE</mi>
     </mrow>
    </mrow>
   </mrow>
  </mfrac>
 </mrow>
</math>"
"7","Browning Reflectance Index","BRI","http://www.indexdatabase.de/db/i-single.php?id=480","((1)/(band_3)-(1)/(band_5))/(band_8)","<math xmlns=""http://www.w3.org/1998/Math/MathML"">
 <mrow>
  <mfrac>
   <mrow>
    <mrow>
     <mrow>
      <mfrac>
       <mrow>
        <mn>1</mn>
       </mrow>
       <mrow>
        <mi mathcolor=""#443399"">550nm</mi>
       </mrow>
      </mfrac>
      <mo>-</mo>
      <mfrac>
       <mrow>
        <mn>1</mn>
       </mrow>
       <mrow>
        <mi mathcolor=""#443399"">700nm</mi>
       </mrow>
      </mfrac>
     </mrow>
    </mrow>
   </mrow>
   <mrow>
    <mi mathcolor=""#443399"">NIR</mi>
   </mrow>
  </mfrac>
 </mrow>
</math>"
"8","Chlorophyll Index Green","CIgreen","http://www.indexdatabase.de/db/i-single.php?id=128","(band_8)/(band_3)-1","<math xmlns=""http://www.w3.org/1998/Math/MathML"">
 <mrow>
  <mrow>
   <mfrac>
    <mrow>
     <mi mathcolor=""#443399"">NIR</mi>
    </mrow>
    <mrow>
     <mi mathcolor=""#443399"">GREEN</mi>
    </mrow>
   </mfrac>
   <mo>-</mo>
   <mn>1</mn>
  </mrow>
 </mrow>
</math>"
"9","Chlorophyll IndexRedEdge","CIrededge","http://www.indexdatabase.de/db/i-single.php?id=131","(band_8)/(band_5)-1","<math xmlns=""http://www.w3.org/1998/Math/MathML"">
 <mrow>
  <mrow>
   <mfrac>
    <mrow>
     <mi mathcolor=""#443399"">NIR</mi>
    </mrow>
    <mrow>
     <mi mathcolor=""#443399"">rededge</mi>
    </mrow>
   </mfrac>
   <mo>-</mo>
   <mn>1</mn>
  </mrow>
 </mrow>
</math>"
"10","Coloration Index","CI","http://www.indexdatabase.de/db/i-single.php?id=11","(band_4-band_2)/(band_4)","<math xmlns=""http://www.w3.org/1998/Math/MathML"">
 <mrow>
  <mfrac>
   <mrow>
    <mrow>
     <mrow>
      <mi mathcolor=""#443399"">RED</mi>
      <mo>-</mo>
      <mi mathcolor=""#443399"">BLUE</mi>
     </mrow>
    </mrow>
   </mrow>
   <mrow>
    <mi mathcolor=""#443399"">RED</mi>
   </mrow>
  </mfrac>
 </mrow>
</math>"
